V1: index,V9: Life Satisfaction,V10: How Feels abt Neighborhood,V12: Descript of Neighbhood,V15: Satisfaction w Police,V17: Satisfaction w Schools,V20: Probs w Drugs,V21: Get along w Police,V29: Current Religion,V31: Attend Church Frequency,V33: Importance of Church,V38: How Church most Helpful,V61: R U useful person,V62: R U person of worth,V67: Freq U feel bad abt self,V68: What Makes U Feel Bad,V71: Freq feel good abt U,V72: What makes U feel good,V75: U get what you hoped for?,V76: What hoped for in Life,V78: Better to Plan or Luck,V79: Do Plans Work or Change,V99: Do U have nervous condition,V100: Do nerves keep U from work?,V110: Who helps if U sick,V125: Ever gone to Pub Health Clinic,V126: Health Clinic helpful,V140: Covered by Insurance,V142: How hard to get health care,V146: Past month had $ probs,V148: Past month had job probs,V150: Past month had Family probs,V156: Past month was crime victim,V158: Past month had police prob,V162: Past month had racial probs,V163: Racial probs upsetting?,V301: Employment Status,V314: Pay scale,V315: Pay freq,V344: Job Satisfaction,V368: Poor treatment of Blacks at work,V860: Times Moved,V884: Is Family Close,V908: Marital Status,V947: Do U have a best friend,V962: U have children,V985: How well Done w Jobs,V987: How well Done as Spouse,V988: How well done as Parent,V994: How happy R U,V1011: Freq drink or get high,V1228: Have good friend who is white,V1243: Told child about white people,V1259: Did parents teach U about whites?,V1269: Sex discrim in US real?,V1403: Birth Year,V1411: Voted in last Pres Election,V1416: Closer to Rep or Dem?,V1429: U own your home?,V1434: School Grades Finished,V1444: Edu Summary,V1451: School Grades Finished Spouse,V1470: School Grades Finished Dad,V1475: School Grades Finished Mom,V1491: Racial comp of Neighborhood,V1494: Better or worse $$,V1499: Total Family Income,V1571: Your Birth Order,V1586: Your Sex M-F
11,2: Some Satisf,2: Fairly Good,2: Some People Keep to Themselves but Others..,3: Somewhat Dissatisfied,2: Somewhat Satisfied,2: Fairly Serious,2: Fairly Well,"12: Baptist, NA Type",4: A Few Times a Year,2: Fairly Important,"00: Inap,..",2: Often True,1: Almost Always True,5: Never,"00: Inap,..",2: Fairly Often,"21: General Satisfaction, Accomplishments,..",2: Gotten less than R Hoped for,02: Financial Security; Money; Be Rich; Well..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",07: (G) Sister,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,"0: Inap,..",1: Very Close,5: Never Married,1: Yes,4,1: Very Well,"0: Inap,..",2: Fairly Well,2: Pretty Happy,3: Not Too Often,5: No,1: Yes,"0: Inap,..",1: Yes,1954,1: Yes,"0: Inap,..",1: Own Home or Buying it,17: College +,"81: Bachelors Degree (Except LLB, JD): BS, ..",99: NA,99: NA,13: 13 Years (if R Indicates Parent/Parent ..,1: All Blacks,1: Better,"16: $25,000-29,999",01: First Born,1: Male
12,2: Some Satisf,3: Fairly Bad,1: Most People Keep to Themselves and Dont..,4: Very Dissatisfied,2: Somewhat Satisfied,1: Very Serious,4: Not Well at All,"14: Methodist, (Except Code 11)",3: A Few Times a Month - 1 to 3 Times,2: Fairly Important,01: Gives Advice; Help Solve Problems; Talk..,2: Often True,2: Often True,4: Hardly Ever,"00: Inap,..",2: Fairly Often,"21: General Satisfaction, Accomplishments,..",2: Gotten less than R Hoped for,32: Children/Family; Watch Children Grow up;..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",05: (E) Mother,5: No,"0: Inap,..",5: No,4: Not Hard at All,1: Yes,1: Yes,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,2,3: Not Too Close,2: Divorced,1: Yes,2,1: Very Well,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,1: Yes,5: No,"0: Inap,..",5: No,1948,5: No,3: Neither,1: Own Home or Buying it,11,"32: 10-11 Grades, No Other Schooling: or ..",12: Grade 12,6,7,1: All Blacks,3: Worse,"14: $15,000-19,999",4,1: Male
13,1: Very Satisf,1: Very Good,2: Some People Keep to Themselves but Others..,2: Somewhat Satisfied,8: DK,4: Not Serious at All,1: Very Well,"12: Baptist, NA Type",4: A Few Times a Year,1: Very Important,01: Gives Advice; Help Solve Problems; Talk..,2: Often True,2: Often True,4: Hardly Ever,"00: Inap,..",2: Fairly Often,"62: Being a (Good) Parent, Providing for..",1: Gotten Mostly What R Hoped for,32: Children/Family; Watch Children Grow up;..,1: Plan Ahead,2: Have to Change Plans,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,1: Yes,1: A Great Deal,1: Yes,4: Not Hard at All,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,1: Yes,"0: Inap,..",1: Very Close,1: Married,5: No,2,1: Very Well,1: Very Well,1: Very Well,2: Pretty Happy,5: Never,1: Yes,5: No,"0: Inap,..",5: No,1957,5: No,"0: Inap,..",2: Paying Rent,11,"32: 10-11 Grades, No Other Schooling: or ..",11,4,6,1: All Blacks,1: Better,"09: $7,000-7,999",3,2: Female
14,2: Some Satisf,1: Very Good,2: Some People Keep to Themselves but Others..,2: Somewhat Satisfied,1: Very Satisfied,4: Not Serious at All,1: Very Well,"12: Baptist, NA Type",3: A Few Times a Month - 1 to 3 Times,1: Very Important,"00: Inap,..",1: Almost Always True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",1: Very Often,52: Helping Others/Altruism; R Giving..,1: Gotten Mostly What R Hoped for,13: Specific Material Things (Excluding 15);..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",01: (A) Husband/Wife/Partner,1: Yes,3: Only a Little,1: Yes,4: Not Hard at All,1: Yes,1: Yes,1: Yes,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",1: One Time,2: Fairly Close,1: Married,5: No,4,1: Very Well,2: Fairly Well,1: Very Well,2: Pretty Happy,5: Never,1: Yes,1: Yes,"0: Inap,..",5: No,1942,5: No,"0: Inap,..",2: Paying Rent,9,"31: 9 Grades, No Other ..",12: Grade 12,3,7,1: All Blacks,2: Same,"05: $3,000-3,999",2,2: Female
15,2: Some Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,3: Somewhat Dissatisfied,8: DK,2: Fairly Serious,3: Not So Well,"14: Methodist, (Except Code 11)",4: A Few Times a Year,2: Fairly Important,02: Companionship; Someone to Do Things With;..,2: Often True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",1: Very Often,23: Personal Competence: Control/Motivation;..,1: Gotten Mostly What R Hoped for,55: World or General Peace/Love..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",30: Ex-Spouse,1: Yes,2: A Lot,1: Yes,2: Fairly Hard,1: Yes,5: No,1: Yes,5: No,5: No,1: Yes,2: A Lot,1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,3,1: Very Close,3: Separated,1: Yes,"00: Inap,..",2: Fairly Well,"0: Inap,..","0: Inap,..",3: Not Too Happy,4: Hardly Ever,1: Yes,"0: Inap,..",1: Yes,5: No,1953,1: Yes,"0: Inap,..",2: Paying Rent,14,"72: Some College (1-3 Years), Degree (Other ..","96: Inap,..",4,7,2: Mostly Blacks,1: Better,"12: $10,000-11,999",01: First Born,1: Male
16,2: Some Satisf,1: Very Good,1: Most People Keep to Themselves and Dont..,2: Somewhat Satisfied,2: Somewhat Satisfied,2: Fairly Serious,2: Fairly Well,"12: Baptist, NA Type",2: At Least Once a Week - 1 to 3 Times,1: Very Important,90: Help Given If/When/Because Ive Been Sick ..,2: Often True,2: Often True,3: Not Too Often,"00: Inap,..",2: Fairly Often,52: Helping Others/Altruism; R Giving..,1: Gotten Mostly What R Hoped for,51: Lead a Moral Life; Lead a Good ..,1: Plan Ahead,2: Have to Change Plans,1: Yes,2: Only a Little,01: (A) Husband/Wife/Partner,1: Yes,3: Only a Little,1: Yes,3: Not Too Hard,5: No,1: Yes,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,"0: Inap,..",2: Fairly Close,1: Married,5: No,4,2: Fairly Well,2: Fairly Well,2: Fairly Well,2: Pretty Happy,5: Never,5: No,5: No,"0: Inap,..",5: No,1941,1: Yes,"0: Inap,..",1: Own Home or Buying it,12: Grade 12,"52: 12 Grades, Completed High School; ..",12: Grade 12,98: DK,98: DK,2: Mostly Blacks,1: Better,"14: $15,000-19,999",01: First Born,2: Female
17,1: Very Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,1: Very Satisfied,2: Somewhat Satisfied,4: Not Serious at All,2: Fairly Well,11: African Methodist Episcopal; AME Zion,2: At Least Once a Week - 1 to 3 Times,1: Very Important,"00: Inap,..",1: Almost Always True,1: Almost Always True,5: Never,"00: Inap,..",1: Very Often,42: Survival/Longevity One Thing I Am..,1: Gotten Mostly What R Hoped for,51: Lead a Moral Life; Lead a Good ..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",09: (I) Friend,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",3: Not Working for Pay at All,"0000000: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..","0: Inap,..",2: Fairly Close,4: Widowed,5: No,"00: Inap,..",1: Very Well,"0: Inap,..","0: Inap,..",1: Very Happy,"0: Inap,..",5: No,"0: Inap,..",5: No,1: Yes,1894,5: No,"0: Inap,..",1: Own Home or Buying it,7,"21: 7-8 Grades, No Other ..","96: Inap,..",98: DK,98: DK,1: All Blacks,2: Same,"04: $2,000-2,999",80: R Is Only Child; or Coded 80 at QJ6(1),2: Female
18,4: Very Dissat,2: Fairly Good,1: Most People Keep to Themselves and Dont..,3: Somewhat Dissatisfied,1: Very Satisfied,4: Not Serious at All,1: Very Well,"12: Baptist, NA Type",3: A Few Times a Month - 1 to 3 Times,1: Very Important,"00: Inap,..",1: Almost Always True,1: Almost Always True,2: Fairly Often,21: General or Overall Dissatisfaction; Lack..,2: Fairly Often,61: General Relations with Family My..,2: Gotten less than R Hoped for,31: Marriage (Children or Family Not..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",30: Ex-Spouse,1: Yes,1: A Great Deal,1: Yes,2: Fairly Hard,1: Yes,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",2: Somewhat Satisfied,5: No,"0: Inap,..",1: Very Close,2: Divorced,1: Yes,3,2: Fairly Well,"0: Inap,..",1: Very Well,3: Not Too Happy,5: Never,5: No,5: No,"0: Inap,..",1: Yes,1950,1: Yes,"0: Inap,..",2: Paying Rent,12: Grade 12,"52: 12 Grades, Completed High School; ..","96: Inap,..",98: DK,98: DK,2: Mostly Blacks,2: Same,"10: $8,000-8,999",6,2: Female
19,2: Some Satisf,2: Fairly Good,2: Some People Keep to Themselves but Others..,3: Somewhat Dissatisfied,1: Very Satisfied,2: Fairly Serious,1: Very Well,11: African Methodist Episcopal; AME Zion,1: Nearly Everyday - 4 or More Times a Week,1: Very Important,01: Gives Advice; Help Solve Problems; Talk..,1: Almost Always True,1: Almost Always True,3: Not Too Often,"00: Inap,..",2: Fairly Often,51: Positive Relations/Getting along with..,1: Gotten Mostly What R Hoped for,27: Be of Good Character/Well Regarded;..,1: Plan Ahead,1: Carry out Way Expected,5: No,"0: Inap,..",05: (E) Mother,5: No,"0: Inap,..",1: Yes,4: Not Hard at All,1: Yes,1: Yes,1: Yes,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,"0: Inap,..",1: Very Close,2: Divorced,1: Yes,01: One Child,1: Very Well,"0: Inap,..",1: Very Well,2: Pretty Happy,5: Never,1: Yes,1: Yes,"0: Inap,..",1: Yes,1947,1: Yes,"0: Inap,..",1: Own Home or Buying it,13: College,"71: Some College (1-3 Years), No Degree (..","96: Inap,..",5,8,2: Mostly Blacks,2: Same,"14: $15,000-19,999",4,2: Female
20,3: Some Dissat,2: Fairly Good,1: Most People Keep to Themselves and Dont..,3: Somewhat Dissatisfied,3: Somewhat Dissatisfied,2: Fairly Serious,2: Fairly Well,29: Sanctified,2: At Least Once a Week - 1 to 3 Times,1: Very Important,01: Gives Advice; Help Solve Problems; Talk..,1: Almost Always True,1: Almost Always True,4: Hardly Ever,"00: Inap,..",2: Fairly Often,15: Personal Characteristics (Which Do Not..,1: Gotten Mostly What R Hoped for,52: See God; Hope for Life after Death; Meet..,9: NA,2: Have to Change Plans,5: No,"0: Inap,..",05: (E) Mother,1: Yes,2: A Lot,5: No,3: Not Too Hard,5: No,1: Yes,1: Yes,5: No,5: No,1: Yes,2: A Lot,2: Laid off,"0000000: Inap,..","0: Inap,..",3: Somewhat Dissatisfied,5: No,"0: Inap,..",1: Very Close,5: Never Married,5: No,"00: Inap,..",1: Very Well,"0: Inap,..","0: Inap,..",2: Pretty Happy,5: Never,5: No,"0: Inap,..",5: No,1: Yes,1961,5: No,"0: Inap,..",2: Paying Rent,14,"71: Some College (1-3 Years), No Degree (..","96: Inap,..",13: 13 Years (if R Indicates Parent/Parent ..,14,2: Mostly Blacks,1: Better,"10: $8,000-8,999",2,2: Female
21,2: Some Satisf,2: Fairly Good,1: Most People Keep to Themselves and Dont..,2: Somewhat Satisfied,8: DK,8: DK,2: Fairly Well,80: None; No Preference,5: Less than Once a Year,"0: Inap,..","00: Inap,..",1: Almost Always True,2: Often True,5: Never,"00: Inap,..",1: Very Often,52: Helping Others/Altruism; R Giving..,2: Gotten less than R Hoped for,31: Marriage (Children or Family Not..,2: Too Much Luck to Plan,2: Have to Change Plans,5: No,"0: Inap,..",02: (B) Son/Stepson,5: No,"0: Inap,..",1: Yes,3: Not Too Hard,5: No,5: No,5: No,5: No,5: No,5: No,"0: Inap,..",1: Working Now,"0000000: Inap,..","0: Inap,..",1: Very Satisfied,5: No,"0: Inap,..",2: Fairly Close,2: Divorced,5: No,2,1: Very Well,"0: Inap,..",1: Very Well,2: Pretty Happy,4: Hardly Ever,1: Yes,5: No,"0: Inap,..",1: Yes,1936,1: Yes,"0: Inap,..",2: Paying Rent,11,"42: 10-11 Grades, plus Non-College Training; ..",99: NA,98: DK,10,2: Mostly Blacks,2: Same,"16: $25,000-29,999",50: Last Born; Youngest,1: Male
